center_lat,center_lon,filename,state,index_right,ecoregion,biome
-18.21567800526202,-43.64976847606643,im_0000163072-0000186368_47_s2_20m_og.tif,Minas Gerais,23,Campos Rupestres montane savanna,7.0
-18.412948041654662,-43.713908187352565,im_0000163072-0000186368_26_s2_20m_og.tif,Minas Gerais,23,Campos Rupestres montane savanna,7.0
-18.482836970759166,-43.53882653847765,im_0000163072-0000186368_74_s2_20m_og.tif,Minas Gerais,23,Campos Rupestres montane savanna,7.0
-16.332988832804325,-44.62677617907481,im_0000139776-0000186368_27_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-16.43252216628477,-43.317122326356966,im_0000139776-0000186368_14_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-16.20929081818107,-44.39348369978897,im_0000139776-0000186368_19_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-16.138503573792455,-42.941536706066586,im_0000139776-0000186368_47_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-20.005481377341756,-47.87140115378614,im_0000186368-0000139776_72_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-15.923177400189006,-42.10781029087527,im_0000139776-0000209664_54_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-19.782160197709644,-48.35056252633546,im_0000186368-0000139776_31_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-19.870823916252238,-46.32054964728218,im_0000186368-0000163072_47_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-20.074292328105308,-48.94021667883152,im_0000186368-0000139776_70_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-16.578498399954192,-46.97497233176325,im_0000139776-0000163072_60_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-17.441420061879402,-47.40930777163503,im_0000163072-0000139776_38_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-17.387071987190172,-42.51061486427446,im_0000163072-0000209664_14_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-17.517687029501147,-47.293694594568855,im_0000163072-0000139776_63_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-20.44835081241268,-46.755154581739205,im_0000186368-0000163072_40_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-19.962721569817667,-45.220113424235755,im_0000186368-0000163072_37_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-16.360387448969973,-45.292337973078965,im_0000139776-0000163072_31_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-20.214699007013195,-48.912997725722704,im_0000186368-0000139776_42_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
-16.54651837583954,-42.726300363991534,im_0000139776-0000209664_20_s2_20m_og.tif,Minas Gerais,20,Cerrado,7.0
